time,mnvel,errvel,S_value,Svalue_err,tel
2458795.832171,-24.528,1.188,0.146,0.001,HIRES
2458802.799923,-13.395,1.240,0.146,0.001,HIRES
2458815.778733,-18.587,1.230,0.142,0.001,HIRES
2458819.743190,-14.859,1.291,0.143,0.001,HIRES
2458827.693506,-12.783,1.302,0.145,0.001,HIRES
2458832.705537,-26.233,1.338,0.147,0.001,HIRES
2458833.704950,-23.144,1.321,0.142,0.001,HIRES
2458834.646735,-25.263,3.834,0.141,0.002,APF
2458834.661133,-15.506,3.889,0.145,0.002,APF
2458837.734264,-33.020,4.378,0.176,0.002,APF
2458837.748489,-22.121,5.383,0.144,0.002,APF
2458844.710760,-30.449,1.193,0.142,0.001,HIRES
2458845.692742,-27.974,1.259,0.145,0.001,HIRES
2458846.741526,-41.717,4.476,0.137,0.002,APF
2458852.706200,-38.814,1.272,0.145,0.001,HIRES
2458853.029364,-49.919,5.386,0.169,0.002,APF
2458853.045081,-52.166,5.503,0.163,0.002,APF
2458854.605406,-39.820,6.360,0.077,0.002,APF
2458854.613125,-51.772,7.127,0.117,0.002,APF
2458857.705904,-35.761,1.518,0.149,0.001,HIRES
2458859.713465,-48.179,4.765,0.196,0.002,APF
2458859.728176,-40.653,4.693,0.155,0.002,APF
2458871.640697,-57.415,7.172,0.147,0.002,APF
2458871.649099,-51.141,6.964,0.141,0.002,APF
2458876.683196,-56.993,5.125,0.150,0.002,APF
2458876.696877,-59.352,5.142,0.134,0.002,APF
2458880.664771,-45.449,4.994,0.134,0.002,APF
2458880.679817,-35.637,4.265,0.141,0.002,APF
2458881.641754,-34.286,3.690,0.158,0.002,APF
2458885.936972,-43.096,7.556,0.148,0.002,APF
2458912.906932,-0.564,4.343,0.190,0.002,APF
2458915.058042,-11.827,7.150,0.183,0.002,APF
2458922.053516,-11.770,2.995,0.133,0.002,APF
2458954.970739,-41.340,3.038,0.154,0.002,APF
2458961.936755,-34.076,3.339,0.147,0.002,APF
2458964.951935,-35.747,2.741,0.160,0.002,APF
2458966.925954,-47.985,4.261,0.166,0.002,APF
2458968.913377,-28.196,3.845,0.140,0.002,APF
2458969.747852,-38.831,4.448,0.130,0.002,APF
2458970.931843,-25.042,4.280,0.166,0.002,APF
2458971.815046,-27.772,3.450,0.152,0.002,APF
2458973.833479,-31.778,3.240,0.161,0.002,APF
2458974.910353,-34.749,3.058,0.149,0.002,APF
2458976.890015,-32.553,4.417,0.148,0.002,APF
2458977.890477,-33.886,3.105,0.155,0.002,APF
2458978.938163,-31.409,2.937,0.150,0.002,APF
2458979.784677,-25.477,3.576,0.155,0.002,APF
2458985.911501,-35.555,7.751,0.149,0.002,APF
2458996.109846,-5.783,0.991,0.147,0.001,HIRES
2458996.905610,-4.971,2.588,0.153,0.002,APF
2459000.084125,-2.939,1.101,0.150,0.001,HIRES
2459002.899010,-2.841,3.349,0.174,0.002,APF
2459003.071271,0.467,1.034,0.148,0.001,HIRES
2459003.824570,4.716,3.172,0.169,0.002,APF
2459004.063731,2.597,0.974,0.149,0.001,HIRES
2459005.896911,14.026,3.042,0.152,0.002,APF
2459006.820955,9.363,6.731,0.122,0.002,APF
2459007.053449,5.446,0.965,0.148,0.001,HIRES
2459008.094903,5.640,1.040,0.151,0.001,HIRES
2459009.843407,-7.206,2.639,0.140,0.002,APF
2459010.954562,-7.292,2.639,0.139,0.002,APF
2459011.054831,-0.247,1.006,0.149,0.001,HIRES
2459011.912474,4.078,2.684,0.146,0.002,APF
2459012.067605,2.511,0.976,0.149,0.001,HIRES
2459012.824413,-2.945,4.411,0.165,0.002,APF
2459013.031582,7.846,0.961,0.149,0.001,HIRES
2459014.081150,9.925,1.032,0.149,0.001,HIRES
2459016.828264,4.201,3.446,0.154,0.002,APF
2459016.930211,8.439,1.316,0.147,0.001,HIRES
2459017.953703,0.018,3.256,0.168,0.002,APF
2459018.861754,-5.275,2.986,0.148,0.002,APF
2459019.041225,4.736,0.991,0.150,0.001,HIRES
2459019.841982,7.086,3.018,0.135,0.002,APF
2459025.029021,8.018,1.098,0.144,0.001,HIRES
2459026.097874,8.655,1.072,0.143,0.001,HIRES
2459027.971188,-1.122,2.596,0.131,0.002,APF
2459028.031745,3.265,0.932,0.147,0.001,HIRES
2459028.858915,1.682,4.806,0.137,0.002,APF
2459029.027854,2.231,0.943,0.144,0.001,HIRES
2459030.045237,3.629,1.028,0.148,0.001,HIRES
2459030.982733,8.028,2.154,0.159,0.002,APF
2459031.059066,7.860,0.967,0.151,0.001,HIRES
2459032.041008,7.381,1.078,0.141,0.001,HIRES
2459034.901276,5.650,2.217,0.142,0.002,APF
