 time mnvel errvel tel
132 2453927.051180667 49.38129550595854 0.532266341430545 hires_j
142 2453982.848376 11.663171809222234 0.6491480818285031 hires_j
152 2454085.797091333 -60.7193207194385 0.6996002852428025 hires_j
159 2454337.092419 45.68 1.33596 hires_j
160 2454339.047234 -39.36 1.190053 hires_j
164 2454398.857338 -59.86 1.262723 hires_j
172 2454806.769329 45.29 1.245337 hires_j
173 2454838.730857 -61.61 1.342356 hires_j
174 2454964.128086 33.77 1.204053 hires_j
175 2454984.098791 23.44 1.1338 hires_j
176 2454985.117108 40.16 1.066358 hires_j
177 2454986.118051 -36.09 1.074907 hires_j
178 2454987.11793 -58.52 1.096527 hires_j
179 2454988.118827 14.350000000000001 1.225359 hires_j
180 2454989.113787 43.78 1.119175 hires_j
181 2455015.053466 19.89 1.047308 hires_j
182 2455016.067718 -53.41 1.015571 hires_j
183 2455019.02109 38.27 1.27944 hires_j
184 2455027.031019 50.24 1.068555 hires_j
185 2455041.929536 -55.8 1.326472 hires_j
186 2455078.082458 44.28 1.156257 hires_j
187 2455106.764757 25.18 1.358943 hires_j
188 2455135.72646 -23.31 1.305713 hires_j
189 2455189.688618 -61.43000000000001 1.271237 hires_j
190 2455190.692775 -29.79 1.392422 hires_j
191 2455192.687145 26.68 1.356073 hires_j
192 2455379.096129 4.31 1.12388 hires_j
193 2455404.929988 -31.87 1.298439 hires_j
194 2455435.047018 -53.05 1.269119 hires_j
195 2455704.080512 45.64 1.147721 hires_j
196 2455722.107743 -19.31 1.004794 hires_j
197 2455729.110086 44.96999999999999 1.120966 hires_j
198 2455732.028614 -40.137931935494954 0.8109819752276477 hires_j
199 2455753.073453 -53.3 1.099348 hires_j
200 2455782.860159 -35.92 1.253374 hires_j
201 2455841.782595 -58.95 1.317748 hires_j
202 2456077.129089 8.7 1.111156 hires_j
203 2456477.104154 -10.58 1.29112 hires_j
204 2456529.885113 6.380000000000001 1.25271 hires_j
207 2456584.740571 15.29 1.319566 hires_j
210 2456639.682112 18.69 1.275948 hires_j
211 2456676.74208 46.83 1.162895 hires_j
216 2456847.925369 -58.99 1.130241 hires_j
224 2456911.773821 -64.19 1.293285 hires_j
225 2456913.754134 44.779999999999994 1.176328 hires_j
245 2457206.941099 -9.42 1.17248 hires_j
276 2457290.809388 39.24 1.280559 hires_j
280 2457339.824401 -41.18 1.315873 hires_j
285 2457412.692043 36.17 1.251551 hires_j
303 2457569.053813333 21.063097650722625 0.6491635967204888 hires_j
304 2457570.017858 40.53 1.441859 hires_j
335 2457717.736929 49.55 1.215228 hires_j
340 2457909.049146 12.67 1.155478 hires_j
341 2457912.117308 44.67 1.077289 hires_j
342 2457941.026839 -4.01 1.41168 hires_j
358 2458029.767245 -12.87 1.24997 hires_j
365 2458117.693385 -58.72 1.182864 hires_j
370 2458285.112724 43.68 1.025601 hires_j
372 2458340.986873 -18.93 1.23011 hires_j
381 2458393.984285 15.810000000000002 1.331219 hires_j
385 2458648.113324 36.53 1.102749 hires_j
386 2458651.127178 -47.03 0.93406 hires_j
387 2458774.691295 17.98 1.34611 hires_j
388 2458794.707906 -62.28 1.313976 hires_j
389 2458852.685574 -0.77 1.313976 hires_j
